degreename,degreetype,studentyear,count
AmericanStudies(BA),BA,fr,1
Anthropology(BA),BA,fr,4
Anthropology(BS),BS,fr,8
AppliedMathematics(BS),BS,fr,0
ArabicAndMiddleEastStudies(BA),BA,fr,0
ArtHistory(BA),BA,fr,3
AsianStudies(BA),BA,fr,1
Astronomy(BS),BS,fr,0
Astrophysics(BS),BS,fr,3
AviationAdministration(BSA),BSA,fr,4
AviationSciences(BSA),BSA,fr,19
Biochemistry(BA),BA,fr,2
Biochemistry(BS),BS,fr,36
Biology(BS),BS,fr,146
Chemistry(BA),BA,fr,0
Chemistry(BS),BS,fr,9
Classics(BA),BA,fr,1
ClinicalLaboratoryScience(BS),BS,fr,0
Communication(BA),BA,fr,55
CommunicationSpecialist(BA),BA,fr,10
ComputerScience(BA),BA,fr,1
EarthScience(BA),BA,fr,0
Economics(BA),BA,fr,3
Economics(BS),BS,fr,2
English(BA),BA,fr,3
EnvironmentalHealthScience(BS),BS,fr,1
EnvironmentalScience(BS),BS,fr,9
EnvironmentalStudies(BA),BA,fr,2
FilmAndDigitalMedia(BA),BA,fr,6
French(BA),BA,fr,0
Geology(BS),BS,fr,1
Geosciences(BS),BS,fr,0
German(BA),BA,fr,0
GreekAndRomanStudies(BA),BA,fr,0
History(BA),BA,fr,13
HumanitiesResearchFellows(BA),BA,fr,1
InternationalStudies(BA),BA,fr,9
Journalism(BA),BA,fr,25
Linguistics(BA),BA,fr,2
Mathematics(BA),BA,fr,1
Mathematics(BS),BS,fr,1
MedicalHumanities(BA),BA,fr,0
MuseumStudies(BA),BA,fr,1
Music(BA),BA,fr,0
Neuroscience(BS),BS,fr,0
Philosophy(BA),BA,fr,3
Physics(BA),BA,fr,1
Physics(BS),BS,fr,1
PoliticalScience(BA),BA,fr,54
Pre-FilmAndDigitalMedia(BA),BA,fr,17
Pre-Neuroscience(BS),BS,fr,50
Pre-Psychology(BA),BA,fr,74
Pre-Psychology(BS),BS,fr,37
PreMajorInMedicalHumanities(BA),BA,fr,26
ProfsnlWritingAndRhetoric(BA),BA,fr,5
Psychology(BA),BA,fr,0
Psychology(BS),BS,fr,0
Religion(BA),BA,fr,11
Russian(BA),BA,fr,0
ScienceResearchFellows(BS),BS,fr,1
Sociology(BA),BA,fr,6
Spanish(BA),BA,fr,1
Statistics(BS),BS,fr,7
StudioArt(BA),BA,fr,4
StudioArt(BFA),BFA,fr,8
TheatreArts(BA),BA,fr,1
TheatreDesignAndTechnology(BFA),BFA,fr,1
TheatrePerformance(BFA),BFA,fr,9
Undecided-AS(BA),BA,fr,115
Undecided-AS(BS),BS,fr,29
AmericanStudies(BA),BA,so,1
Anthropology(BA),BA,so,8
Anthropology(BS),BS,so,14
AppliedMathematics(BS),BS,so,4
ArabicAndMiddleEastStudies(BA),BA,so,0
ArtHistory(BA),BA,so,6
AsianStudies(BA),BA,so,1
Astronomy(BS),BS,so,1
Astrophysics(BS),BS,so,2
AviationAdministration(BSA),BSA,so,7
AviationSciences(BSA),BSA,so,28
Biochemistry(BA),BA,so,7
Biochemistry(BS),BS,so,57
Biology(BS),BS,so,269
Chemistry(BA),BA,so,1
Chemistry(BS),BS,so,12
Classics(BA),BA,so,0
ClinicalLaboratoryScience(BS),BS,so,0
Communication(BA),BA,so,179
CommunicationSpecialist(BA),BA,so,16
ComputerScience(BA),BA,so,1
EarthScience(BA),BA,so,0
Economics(BA),BA,so,3
Economics(BS),BS,so,3
English(BA),BA,so,25
EnvironmentalHealthScience(BS),BS,so,3
EnvironmentalScience(BS),BS,so,9
EnvironmentalStudies(BA),BA,so,11
FilmAndDigitalMedia(BA),BA,so,36
French(BA),BA,so,0
Geology(BS),BS,so,1
Geosciences(BS),BS,so,6
German(BA),BA,so,0
GreekAndRomanStudies(BA),BA,so,1
History(BA),BA,so,26
HumanitiesResearchFellows(BA),BA,so,0
InternationalStudies(BA),BA,so,24
Journalism(BA),BA,so,40
Linguistics(BA),BA,so,4
Mathematics(BA),BA,so,6
Mathematics(BS),BS,so,5
MedicalHumanities(BA),BA,so,18
MuseumStudies(BA),BA,so,3
Music(BA),BA,so,2
Neuroscience(BS),BS,so,18
Philosophy(BA),BA,so,12
Physics(BA),BA,so,1
Physics(BS),BS,so,10
PoliticalScience(BA),BA,so,108
Pre-FilmAndDigitalMedia(BA),BA,so,16
Pre-Neuroscience(BS),BS,so,51
Pre-Psychology(BA),BA,so,88
Pre-Psychology(BS),BS,so,30
PreMajorInMedicalHumanities(BA),BA,so,34
ProfsnlWritingAndRhetoric(BA),BA,so,20
Psychology(BA),BA,so,15
Psychology(BS),BS,so,2
Religion(BA),BA,so,21
Russian(BA),BA,so,0
ScienceResearchFellows(BS),BS,so,8
Sociology(BA),BA,so,26
Spanish(BA),BA,so,1
Statistics(BS),BS,so,4
StudioArt(BA),BA,so,6
StudioArt(BFA),BFA,so,6
TheatreArts(BA),BA,so,3
TheatreDesignAndTechnology(BFA),BFA,so,6
TheatrePerformance(BFA),BFA,so,14
Undecided-AS(BA),BA,so,143
Undecided-AS(BS),BS,so,25
AmericanStudies(BA),BA,jr,1
Anthropology(BA),BA,jr,9
Anthropology(BS),BS,jr,23
AppliedMathematics(BS),BS,jr,2
ArabicAndMiddleEastStudies(BA),BA,jr,1
ArtHistory(BA),BA,jr,4
AsianStudies(BA),BA,jr,2
Astronomy(BS),BS,jr,0
Astrophysics(BS),BS,jr,10
AviationAdministration(BSA),BSA,jr,8
AviationSciences(BSA),BSA,jr,17
Biochemistry(BA),BA,jr,5
Biochemistry(BS),BS,jr,75
Biology(BS),BS,jr,235
Chemistry(BA),BA,jr,1
Chemistry(BS),BS,jr,24
Classics(BA),BA,jr,2
ClinicalLaboratoryScience(BS),BS,jr,1
Communication(BA),BA,jr,178
CommunicationSpecialist(BA),BA,jr,19
ComputerScience(BA),BA,jr,0
EarthScience(BA),BA,jr,1
Economics(BA),BA,jr,11
Economics(BS),BS,jr,11
English(BA),BA,jr,30
EnvironmentalHealthScience(BS),BS,jr,4
EnvironmentalScience(BS),BS,jr,11
EnvironmentalStudies(BA),BA,jr,18
FilmAndDigitalMedia(BA),BA,jr,31
French(BA),BA,jr,1
Geology(BS),BS,jr,0
Geosciences(BS),BS,jr,4
German(BA),BA,jr,0
GreekAndRomanStudies(BA),BA,jr,1
History(BA),BA,jr,36
HumanitiesResearchFellows(BA),BA,jr,0
InternationalStudies(BA),BA,jr,32
Journalism(BA),BA,jr,49
Linguistics(BA),BA,jr,4
Mathematics(BA),BA,jr,3
Mathematics(BS),BS,jr,13
MedicalHumanities(BA),BA,jr,62
MuseumStudies(BA),BA,jr,3
Music(BA),BA,jr,5
Neuroscience(BS),BS,jr,59
Philosophy(BA),BA,jr,17
Physics(BA),BA,jr,0
Physics(BS),BS,jr,5
PoliticalScience(BA),BA,jr,115
Pre-FilmAndDigitalMedia(BA),BA,jr,3
Pre-Neuroscience(BS),BS,jr,24
Pre-Psychology(BA),BA,jr,60
Pre-Psychology(BS),BS,jr,17
PreMajorInMedicalHumanities(BA),BA,jr,3
ProfsnlWritingAndRhetoric(BA),BA,jr,18
Psychology(BA),BA,jr,61
Psychology(BS),BS,jr,15
Religion(BA),BA,jr,24
Russian(BA),BA,jr,0
ScienceResearchFellows(BS),BS,jr,9
Sociology(BA),BA,jr,35
Spanish(BA),BA,jr,3
Statistics(BS),BS,jr,9
StudioArt(BA),BA,jr,3
StudioArt(BFA),BFA,jr,20
TheatreArts(BA),BA,jr,0
TheatreDesignAndTechnology(BFA),BFA,jr,6
TheatrePerformance(BFA),BFA,jr,20
Undecided-AS(BA),BA,jr,38
Undecided-AS(BS),BS,jr,7
AmericanStudies(BA),BA,sr,2
Anthropology(BA),BA,sr,12
Anthropology(BS),BS,sr,26
AppliedMathematics(BS),BS,sr,7
ArabicAndMiddleEastStudies(BA),BA,sr,3
ArtHistory(BA),BA,sr,2
AsianStudies(BA),BA,sr,1
Astronomy(BS),BS,sr,0
Astrophysics(BS),BS,sr,7
AviationAdministration(BSA),BSA,sr,4
AviationSciences(BSA),BSA,sr,20
Biochemistry(BA),BA,sr,9
Biochemistry(BS),BS,sr,132
Biology(BS),BS,sr,376
Chemistry(BA),BA,sr,1
Chemistry(BS),BS,sr,24
Classics(BA),BA,sr,3
ClinicalLaboratoryScience(BS),BS,sr,1
Communication(BA),BA,sr,164
CommunicationSpecialist(BA),BA,sr,21
ComputerScience(BA),BA,sr,2
EarthScience(BA),BA,sr,1
Economics(BA),BA,sr,11
Economics(BS),BS,sr,15
English(BA),BA,sr,19
EnvironmentalHealthScience(BS),BS,sr,5
EnvironmentalScience(BS),BS,sr,31
EnvironmentalStudies(BA),BA,sr,28
