degree,year,count
AmericanStudies(BA),fr,1
Anthropology(BA),fr,4
Anthropology(BS),fr,8
AppliedMathematics(BS),fr,0
ArabicAndMiddleEastStudies(BA),fr,0
ArtHistory(BA),fr,3
AsianStudies(BA),fr,1
Astronomy(BS),fr,0
Astrophysics(BS),fr,3
AviationAdministration(BSA),fr,4
AviationSciences(BSA),fr,19
Biochemistry(BA),fr,2
Biochemistry(BS),fr,36
Biology(BS),fr,146
Chemistry(BA),fr,0
Chemistry(BS),fr,9
Classics(BA),fr,1
ClinicalLaboratoryScience(BS),fr,0
Communication(BA),fr,55
CommunicationSpecialist(BA),fr,10
ComputerScience(BA),fr,1
EarthScience(BA),fr,0
Economics(BA),fr,3
Economics(BS),fr,2
English(BA),fr,3
EnvironmentalHealthScience(BS),fr,1
EnvironmentalScience(BS),fr,9
EnvironmentalStudies(BA),fr,2
FilmAndDigitalMedia(BA),fr,6
French(BA),fr,0
Geology(BS),fr,1
Geosciences(BS),fr,0
German(BA),fr,0
GreekAndRomanStudies(BA),fr,0
History(BA),fr,13
HumanitiesResearchFellows(BA),fr,1
InternationalStudies(BA),fr,9
Journalism(BA),fr,25
Linguistics(BA),fr,2
Mathematics(BA),fr,1
Mathematics(BS),fr,1
MedicalHumanities(BA),fr,0
MuseumStudies(BA),fr,1
Music(BA),fr,0
Neuroscience(BS),fr,0
Philosophy(BA),fr,3
Physics(BA),fr,1
Physics(BS),fr,1
PoliticalScience(BA),fr,54
Pre-FilmAndDigitalMedia(BA),fr,17
Pre-Neuroscience(BS),fr,50
Pre-Psychology(BA),fr,74
Pre-Psychology(BS),fr,37
PreMajorInMedicalHumanities(BA),fr,26
ProfsnlWritingAndRhetoric(BA),fr,5
Psychology(BA),fr,0
Psychology(BS),fr,0
Religion(BA),fr,11
Russian(BA),fr,0
ScienceResearchFellows(BS),fr,1
Sociology(BA),fr,6
Spanish(BA),fr,1
Statistics(BS),fr,7
StudioArt(BA),fr,4
StudioArt(BFA),fr,8
TheatreArts(BA),fr,1
TheatreDesignAndTechnology(BFA),fr,1
TheatrePerformance(BFA),fr,9
Undecided-AS(BA),fr,115
Undecided-AS(BS),fr,29
AmericanStudies(BA),so,1
Anthropology(BA),so,8
Anthropology(BS),so,14
AppliedMathematics(BS),so,4
ArabicAndMiddleEastStudies(BA),so,0
ArtHistory(BA),so,6
AsianStudies(BA),so,1
Astronomy(BS),so,1
Astrophysics(BS),so,2
AviationAdministration(BSA),so,7
AviationSciences(BSA),so,28
Biochemistry(BA),so,7
Biochemistry(BS),so,57
Biology(BS),so,269
Chemistry(BA),so,1
Chemistry(BS),so,12
Classics(BA),so,0
ClinicalLaboratoryScience(BS),so,0
Communication(BA),so,179
CommunicationSpecialist(BA),so,16
ComputerScience(BA),so,1
EarthScience(BA),so,0
Economics(BA),so,3
Economics(BS),so,3
English(BA),so,25
EnvironmentalHealthScience(BS),so,3
EnvironmentalScience(BS),so,9
EnvironmentalStudies(BA),so,11
FilmAndDigitalMedia(BA),so,36
French(BA),so,0
Geology(BS),so,1
Geosciences(BS),so,6
German(BA),so,0
GreekAndRomanStudies(BA),so,1
History(BA),so,26
HumanitiesResearchFellows(BA),so,0
InternationalStudies(BA),so,24
Journalism(BA),so,40
Linguistics(BA),so,4
Mathematics(BA),so,6
Mathematics(BS),so,5
MedicalHumanities(BA),so,18
MuseumStudies(BA),so,3
Music(BA),so,2
Neuroscience(BS),so,18
Philosophy(BA),so,12
Physics(BA),so,1
Physics(BS),so,10
PoliticalScience(BA),so,108
Pre-FilmAndDigitalMedia(BA),so,16
Pre-Neuroscience(BS),so,51
Pre-Psychology(BA),so,88
Pre-Psychology(BS),so,30
PreMajorInMedicalHumanities(BA),so,34
ProfsnlWritingAndRhetoric(BA),so,20
Psychology(BA),so,15
Psychology(BS),so,2
Religion(BA),so,21
Russian(BA),so,0
ScienceResearchFellows(BS),so,8
Sociology(BA),so,26
Spanish(BA),so,1
Statistics(BS),so,4
StudioArt(BA),so,6
StudioArt(BFA),so,6
TheatreArts(BA),so,3
TheatreDesignAndTechnology(BFA),so,6
TheatrePerformance(BFA),so,14
Undecided-AS(BA),so,143
Undecided-AS(BS),so,25
AmericanStudies(BA),jr,1
Anthropology(BA),jr,9
Anthropology(BS),jr,23
AppliedMathematics(BS),jr,2
ArabicAndMiddleEastStudies(BA),jr,1
ArtHistory(BA),jr,4
AsianStudies(BA),jr,2
Astronomy(BS),jr,0
Astrophysics(BS),jr,10
AviationAdministration(BSA),jr,8
AviationSciences(BSA),jr,17
Biochemistry(BA),jr,5
Biochemistry(BS),jr,75
Biology(BS),jr,235
Chemistry(BA),jr,1
Chemistry(BS),jr,24
Classics(BA),jr,2
ClinicalLaboratoryScience(BS),jr,1
Communication(BA),jr,178
CommunicationSpecialist(BA),jr,19
ComputerScience(BA),jr,0
EarthScience(BA),jr,1
Economics(BA),jr,11
Economics(BS),jr,11
English(BA),jr,30
EnvironmentalHealthScience(BS),jr,4
EnvironmentalScience(BS),jr,11
EnvironmentalStudies(BA),jr,18
FilmAndDigitalMedia(BA),jr,31
French(BA),jr,1
Geology(BS),jr,0
Geosciences(BS),jr,4
German(BA),jr,0
GreekAndRomanStudies(BA),jr,1
History(BA),jr,36
HumanitiesResearchFellows(BA),jr,0
InternationalStudies(BA),jr,32
Journalism(BA),jr,49
Linguistics(BA),jr,4
Mathematics(BA),jr,3
Mathematics(BS),jr,13
MedicalHumanities(BA),jr,62
MuseumStudies(BA),jr,3
Music(BA),jr,5
Neuroscience(BS),jr,59
Philosophy(BA),jr,17
Physics(BA),jr,0
Physics(BS),jr,5
PoliticalScience(BA),jr,115
Pre-FilmAndDigitalMedia(BA),jr,3
Pre-Neuroscience(BS),jr,24
Pre-Psychology(BA),jr,60
Pre-Psychology(BS),jr,17
PreMajorInMedicalHumanities(BA),jr,3
ProfsnlWritingAndRhetoric(BA),jr,18
Psychology(BA),jr,61
Psychology(BS),jr,15
Religion(BA),jr,24
Russian(BA),jr,0
ScienceResearchFellows(BS),jr,9
Sociology(BA),jr,35
Spanish(BA),jr,3
Statistics(BS),jr,9
StudioArt(BA),jr,3
StudioArt(BFA),jr,20
TheatreArts(BA),jr,0
TheatreDesignAndTechnology(BFA),jr,6
TheatrePerformance(BFA),jr,20
Undecided-AS(BA),jr,38
Undecided-AS(BS),jr,7
AmericanStudies(BA),sr,2
Anthropology(BA),sr,12
Anthropology(BS),sr,26
AppliedMathematics(BS),sr,7
ArabicAndMiddleEastStudies(BA),sr,3
ArtHistory(BA),sr,2
AsianStudies(BA),sr,1
Astronomy(BS),sr,0
Astrophysics(BS),sr,7
AviationAdministration(BSA),sr,4
AviationSciences(BSA),sr,20
Biochemistry(BA),sr,9
Biochemistry(BS),sr,132
Biology(BS),sr,376
Chemistry(BA),sr,1
Chemistry(BS),sr,24
Classics(BA),sr,3
ClinicalLaboratoryScience(BS),sr,1
Communication(BA),sr,164
CommunicationSpecialist(BA),sr,21
ComputerScience(BA),sr,2
EarthScience(BA),sr,1
Economics(BA),sr,11
Economics(BS),sr,15
English(BA),sr,19
EnvironmentalHealthScience(BS),sr,5
