personnumber,indicator,value
1,hindex,15
1,cited2020,89
1,cited2021,127
1,cited2022,131
1,cited2023,168
1,cited2024,230
2,hindex,NA
2,cited2020,NA
2,cited2021,NA
2,cited2022,NA
2,cited2023,NA
2,cited2024,NA
3,hindex,19
3,cited2020,81
3,cited2021,40
3,cited2022,46
3,cited2023,45
3,cited2024,65
4,hindex,12
4,cited2020,45
4,cited2021,68
4,cited2022,60
4,cited2023,63
4,cited2024,62
5,hindex,22
5,cited2020,297
5,cited2021,221
5,cited2022,226
5,cited2023,186
5,cited2024,178
6,hindex,7
6,cited2020,13
6,cited2021,24
6,cited2022,41
6,cited2023,63
6,cited2024,65
7,hindex,31
7,cited2020,330
7,cited2021,357
7,cited2022,400
7,cited2023,233
7,cited2024,273
8,hindex,27
8,cited2020,434
8,cited2021,652
8,cited2022,590
8,cited2023,527
8,cited2024,543
9,hindex,37
9,cited2020,627
9,cited2021,629
9,cited2022,607
9,cited2023,643
9,cited2024,533
10,hindex,22
10,cited2020,189
10,cited2021,243
10,cited2022,217
10,cited2023,168
10,cited2024,213
11,hindex,27
11,cited2020,103
11,cited2021,149
11,cited2022,127
11,cited2023,98
11,cited2024,103
12,hindex,19
12,cited2020,249
12,cited2021,305
12,cited2022,285
12,cited2023,266
12,cited2024,234
13,hindex,34
13,cited2020,282
13,cited2021,250
13,cited2022,248
13,cited2023,258
13,cited2024,259
14,hindex,35
14,cited2020,474
14,cited2021,4B5
14,cited2022,493
14,cited2023,478
14,cited2024,383
