"","group","x1","x2","y1","y2","y3","y4","y5"
"1","a",52,5.2,12,9.5,210,210,0.37
"2","a",100,4.8,10,310,170,200,0.22
"3","a",63,3.5,13,41,160,150,0.33
"4","a",84,4.6,12,250,220,220,0.089
"5","a",63,7.4,13,4.7,300,280,1
"6","a",76,3.8,13,25,140,190,0.86
"7","a",59,6.7,14,0.34,280,240,0.4
"8","a",6,5.9,13,1,180,290,8.3
"9","a",24,5.2,12,21,230,230,3.5
"10","a",80,4.4,13,41,180,210,1.3
"11","a",96,3.6,13,11,150,140,0.2
"12","a",95,11,12,300,420,420,0.42
"13","a",28,7.5,11,580,290,330,2.8
"14","a",7,4.3,12,5.4,180,160,8.5
"15","a",68,8.7,12,19,380,350,0.16
"16","a",98,6.8,12,180,330,280,0.4
"17","a",77,5.9,11,250,250,220,0.73
"18","a",25,9.1,11,3.5,370,250,4.2
"19","a",57,5.7,13,430,220,210,0.13
"20","a",71,9.9,13,540,430,350,0.5
"21","a",44,5.1,13,4.5,220,230,1.5
"22","a",27,5.9,13,13,290,190,3.8
"23","a",48,6.5,13,0.0077,280,270,0.74
"24","a",35,5.9,15,1.2,260,250,1.5
"25","a",96,7.2,11,9.7,280,300,0.31
"26","a",29,4.9,14,120,230,220,2.8
"27","a",12,4.5,13,0.43,160,180,7.2
"28","a",92,7.3,11,58,310,300,0.36
"29","a",20,8,12,230,300,390,4.4
"30","a",97,4.7,11,2.2,190,210,0.83
"31","a",99,10,11,1.6,430,460,0.94
"32","a",53,6.6,12,4.8,260,300,0.88
"33","a",93,8,12,7.5,360,320,0.33
"34","a",93,3.5,12,76,160,150,0.54
"35","a",60,3.7,13,89,110,160,0.85
"36","a",21,6.2,13,46,290,320,4.7
"37","a",40,6,12,60,260,270,2.4
"38","a",52,8.4,13,72,360,370,0.69
"39","a",77,1.6,9.9,1700,86,67,0.25
"40","a",94,8.6,11,130,330,340,0.17
"41","a",82,3.6,12,1.3,130,140,0.5
"42","a",23,5.7,12,4.9,230,290,3.1
"43","a",31,3,12,0.8,140,130,2.4
"44","a",78,5.9,12,59,250,180,0.097
"45","a",3,6.6,11,28,290,270,11
"46","a",63,1.5,12,29,78,61,0.84
"47","a",92,4.8,13,3.6,190,180,0.17
"48","a",96,7.5,13,4.6,370,300,0.28
"49","a",19,5.2,11,1.7,270,210,4.6
"50","a",38,6.2,10,1.4,270,290,1.5
"51","a",53,8,12,36,300,380,0.42
"52","a",88,4.2,11,4.7,190,180,0.48
"53","a",57,2.7,9.6,58,140,130,1.2
"54","a",75,4.1,11,13,190,150,0.48
"55","a",42,6,11,0.64,270,270,1.2
"56","a",79,4.9,13,24,210,190,0.23
"57","a",67,6.8,13,5.7,320,260,0.13
"58","a",81,8.1,13,4.1,290,410,0.56
"59","a",77,4.7,11,0.97,230,190,0.59
"60","a",6,1.3,12,58,42,52,8.7
"61","a",82,7.3,12,0.12,310,370,0.84
"62","a",61,6.8,10,1.7,280,300,0.61
"63","a",42,9,11,0.38,380,300,1.9
"64","a",84,2,15,24,110,77,0.4
"65","a",57,2.2,12,3.6,100,95,1.1
"66","a",58,6.3,9.8,57,260,230,1.1
"67","a",9,2.9,12,2600,130,110,7.7
"68","a",61,3.6,10,9.6,110,150,0.49
"69","a",90,8.2,12,68,330,240,0.23
"70","a",57,3.6,12,8.8,180,160,0.15
"71","a",74,3.9,14,23,190,150,0.34
"72","a",73,3.2,12,5.2,120,150,0.43
"73","a",39,4.8,12,96,170,220,2
"74","a",44,2.7,12,73,110,120,1.5
"75","a",47,2.7,9.8,33,130,110,1.1
"76","a",14,6.2,10,150,280,250,6.3
"77","a",95,4.9,14,400,190,220,0.83
"78","a",70,9,11,9.6,370,360,0.52
"79","a",79,8.7,12,27,370,430,0.17
"80","a",83,5.8,12,1.1,260,230,0.092
"81","a",73,5.6,13,170,220,270,0.65
"82","a",26,4.4,13,51,170,160,3.5
"83","a",54,7.9,13,0.87,370,320,0.17
"84","a",96,6,11,1.5,230,260,0.67
"85","a",55,6.3,13,66,290,270,0.79
"86","a",90,6.2,10,42,240,280,0.43
"87","a",19,4.8,12,64,210,230,4.6
"88","a",23,7.9,12,14,350,350,3.9
"89","a",8,2.8,13,4.8,140,130,7.4
"90","a",23,4.5,13,0.81,170,160,3.8
"91","a",74,5.7,13,7.8,260,240,0.74
"92","a",48,6.2,11,2.9,300,310,1.2
"93","a",98,5.1,10,25,220,230,0.12
"94","a",92,6.4,11,1.1,310,300,0.26
"95","a",32,10,14,460,450,430,2.1
"96","a",69,4.3,13,86,180,160,0.4
"97","a",36,8.5,12,0.24,330,390,2.4
"98","a",13,7.2,11,11,320,320,5.9
"99","a",13,7.7,11,0.51,330,260,7
"100","a",41,4.3,13,13,160,180,2.2
"101","a",90,2.5,13,1.1,70,100,0.28
"102","a",1,4.7,11,17,210,210,12
"103","a",56,4.4,10,19,180,210,0.72
"104","a",97,7.8,10,63,310,400,0.6
"105","a",80,8.6,12,28,340,240,0.16
"106","a",64,3.5,11,2.3,130,160,0.36
"107","a",83,7.6,12,4.4,320,310,0.1
"108","a",27,5.6,13,230,230,280,1.9
"109","a",52,5,14,6.9,220,210,0.89
"110","a",28,8.4,12,0.51,340,410,3.1
"111","a",57,4.4,13,14,170,210,0.23
"112","a",34,6.2,13,90,240,260,1.8
"113","a",75,8.8,12,0.15,380,200,0.61
"114","a",51,3.9,13,5.2,160,210,0.66
"115","a",55,2.5,11,0.26,82,110,0.74
"116","a",65,6.3,12,250,270,300,0.62
"117","a",52,13,12,63,550,680,1.2
"118","a",89,10,11,0.91,410,350,0.71
"119","a",31,6,12,19,280,240,2.5
"120","a",50,6.8,14,24,300,220,1.2
"121","a",38,5.9,12,12,290,250,1.7
"122","a",56,4,13,70,140,140,0.89
"123","a",100,8.1,11,97,360,310,0.019
