personnumber,indicator,value
1,hindex,14
1,cited2020,82
1,cited2021,88
1,cited2022,131
1,cited2023,170
2,hindex,NA
2,cited2020,NA
2,cited2021,NA
2,cited2022,NA
2,cited2023,NA
3,hindex,30
3,cited2020,115
3,cited2021,130
3,cited2022,103
3,cited2023,108
4,hindex,18
4,cited2020,81
4,cited2021,38
4,cited2022,45
4,cited2023,46
5,hindex,11
5,cited2020,45
5,cited2021,65
5,cited2022,63
5,cited2023,55
6,hindex,21
6,cited2020,288
6,cited2021,218
6,cited2022,208
6,cited2023,178
7,hindex,10
7,cited2020,29
7,cited2021,56
7,cited2022,87
7,cited2023,97
8,hindex,37
8,cited2020,505
8,cited2021,488
8,cited2022,390
8,cited2023,390
9,hindex,24
9,cited2020,195
9,cited2021,232
9,cited2022,292
9,cited2023,307
10,hindex,7
10,cited2020,13
10,cited2021,24
10,cited2022,38
10,cited2023,58
11,hindex,30
11,cited2020,329
11,cited2021,356
11,cited2022,425
11,cited2023,233
12,hindex,26
12,cited2020,431
12,cited2021,646
12,cited2022,567
12,cited2023,501
13,hindex,36
13,cited2020,614
13,cited2021,633
13,cited2022,582
13,cited2023,594
14,hindex,21
14,cited2020,185
14,cited2021,245
14,cited2022,213
14,cited2023,166
15,hindex,26
15,cited2020,100
15,cited2021,150
15,cited2022,129
15,cited2023,89
16,hindex,17
16,cited2020,246
16,cited2021,300
16,cited2022,274
16,cited2023,269
17,hindex,33
17,cited2020,267
17,cited2021,243
17,cited2022,225
17,cited2023,242
18,hindex,33
18,cited2020,472
18,cited2021,482
18,cited2022,4B7
18,cited2023,474
